train_loss,epoch,rank
0.1123020278424977,0,0
0.05533957641813897,1,0
0.05353021446879561,2,0
0.05260540723273197,3,0
0.05177587118013786,4,0
0.050916065479926276,5,0
0.05006514107858527,6,0
0.04926825608286068,7,0
0.048511942886356116,8,0
0.047758991702571515,9,0
0.04697287204112806,10,0
0.04611990379289852,11,0
0.04518351362821769,12,0
0.044186465720638765,13,0
0.04320374629878092,14,0
0.04231187561984649,15,0
0.0415377821934767,16,0
0.04085692300012191,17,0
0.040237672292949105,18,0
0.03966078231678267,19,0
0.039124976296480825,20,0
0.038639809945728784,21,0
0.03821354752098361,22,0
0.03785091932030843,23,0
0.03754655533868075,24,0
0.03729228937861424,25,0
0.03707836133482158,26,0
0.036897303803670456,27,0
0.03674092514477386,28,0
0.03660510138528271,29,0
0.036487040507367334,30,0
0.036382017520640256,31,0
0.036288688142506825,32,0
0.03620422398501675,33,0
0.0361280441209253,34,0
0.03605862394502889,35,0
0.03599458963982425,36,0
0.03593554756993756,37,0
0.0358805373116204,38,0
0.035829209684297106,39,0
0.03578036992085617,40,0
0.03573519943938467,41,0
0.03569196339103402,42,0
0.03564991680314311,43,0
0.03561113741038054,44,0
0.035573544970788476,45,0
0.035537099465983706,46,0
0.035502421890481826,47,0
0.03546943796775391,48,0
0.03543711635079901,49,0
0.11371480953780032,0,1
0.05535695081968645,1,1
0.05365072793493598,2,1
0.052697693004502055,3,1
0.051814032318116876,4,1
0.050927003450474836,5,1
0.05009925673929878,6,1
0.049335790880411796,7,1
0.048596166522925664,8,1
0.04782889309094904,9,1
0.046989916853004646,10,1
0.04604840245235992,11,1
0.045013066114521806,12,1
0.04394088873438287,13,1
0.04292438634329562,14,1
0.04202829305723704,15,1
0.04125397587621923,16,1
0.04056617076649326,17,1
0.039935044716340774,18,1
0.03934903991352492,19,1
0.03881504953579088,20,1
0.03834285796067683,21,1
0.0379383085269377,22,1
0.03760133957423691,23,1
0.03732304229832769,24,1
0.037092368718769336,25,1
0.036895965980688845,26,1
0.03672666460014381,27,1
0.03657788860440182,28,1
0.03644551114135227,29,1
0.03632581210783163,30,1
0.036217851196718005,31,1
0.03611954832391576,32,1
0.03603041476950423,33,1
0.035948980695453686,34,1
0.035874450987371395,35,1
0.03580565818785826,36,1
0.03574225672505409,37,1
0.035683670119305164,38,1
0.03562889234803471,39,1
0.03557754826030149,40,1
0.035528520574681303,41,1
0.03548259802982241,42,1
0.03543771673346665,43,1
0.03539478353669426,44,1
0.03535240319973979,45,1
0.035312017291890124,46,1
0.03527068950749848,47,1
0.035231129816934374,48,1
0.03519185453981416,49,1
0.11426282699635817,0,2
0.05548184100886317,1,2
0.05374427280355809,2,2
0.05282719472616511,3,2
0.052008479455312416,4,2
0.05117945328182472,5,2
0.050355454837203766,6,2
0.04955406386092468,7,2
0.04879084106616497,8,2
0.04806721232323563,9,2
0.04736691015379089,10,2
0.04666192332550398,11,2
0.04591841091992185,12,2
0.04510102305048807,13,2
0.04418794763877015,14,2
0.04319980191423184,15,2
0.042200123979682425,16,2
0.04127542203751432,17,2
0.040472619771540035,18,2
0.03979875856149897,19,2
0.03923857205190158,20,2
0.038773236120106636,21,2
0.03838721684011153,22,2
0.038066227431669916,23,2
0.037796942895718666,24,2
0.03756843754612161,25,2
0.037370226847078844,26,2
0.03719553786149208,27,2
0.03703813913879852,28,2
0.03689418969754505,29,2
0.036761841507055734,30,2
0.03663786494311182,31,2
0.03652236889618378,32,2
0.03641476773649441,33,2
0.036314266566507505,34,2
0.03621939215835611,35,2
0.03613098325162706,36,2
0.03604863887866143,37,2
0.03597151589520499,38,2
0.035898579872506206,39,2
0.03583095797474964,40,2
0.035767267037819635,41,2
0.03570707752056413,42,2
0.035650213161839375,43,2
0.03559733587853998,44,2
0.035546597268036884,45,2
0.03549871115226507,46,2
0.03545355959688892,47,2
0.035410213009254975,48,2
0.03536948383191326,49,2
